city,city_ascii,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Nighthawk,Nighthawk,,48.9665,-119.642,United States,US,USA,Washington,Washington,US-WA,state,,0.7,,,5,America/Los_Angeles,False,1840033768
Olympic View,Olympic View,,47.694,-122.7404,United States,US,USA,Washington,Washington,US-WA,state,,220.8,,,4,America/Los_Angeles,False,1840037692
Olalla,Olalla,,47.4293,-122.5457,United States,US,USA,Washington,Washington,US-WA,state,,129.2,,,4,America/Los_Angeles,False,1840037691
Oak Point,Oak Point,,46.1909,-123.1887,United States,US,USA,Washington,Washington,US-WA,state,,42.2,,,4,America/Los_Angeles,False,1840120299
Plain,Plain,,47.7626,-120.6573,United States,US,USA,Washington,Washington,US-WA,state,,10.2,,,4,America/Los_Angeles,False,1840037804
Pitt,Pitt,,45.7957,-121.2009,United States,US,USA,Washington,Washington,US-WA,state,,7.3,,,5,America/Los_Angeles,False,1840120625
Mount Baker,Mount Baker,,47.5784,-122.2896,United States,US,USA,Washington,Washington,US-WA,state,,2423.9,,,4,America/Los_Angeles,False,1840120290
Moses Lake,Moses Lake,,47.128,-119.2761,United States,US,USA,Washington,Washington,US-WA,state,,519.0,39002.0,24086.0,3,America/Los_Angeles,False,1840019817
Mount View,Mount View,,47.4945,-122.3498,United States,US,USA,Washington,Washington,US-WA,state,,2592.7,,,4,America/Los_Angeles,False,1840120293
Mountain View,Mountain View,,48.8482,-122.6713,United States,US,USA,Washington,Washington,US-WA,state,,24.3,,,4,America/Los_Angeles,False,1840148239
Mount Pleasant,Mount Pleasant,,45.5598,-122.2576,United States,US,USA,Washington,Washington,US-WA,state,,17.3,,,4,America/Los_Angeles,False,1840120291
Mount Vernon,Mount Vernon,,48.4202,-122.3115,United States,US,USA,Washington,Washington,US-WA,state,,1130.0,71422.0,36006.0,3,America/Los_Angeles,False,1840019774
Chehalis,Chehalis,,46.6638,-122.965,United States,US,USA,Washington,Washington,US-WA,state,,508.0,7654.0,7654.0,3,America/Los_Angeles,False,1840018472
Latah,Latah,,47.2822,-117.1557,United States,US,USA,Washington,Washington,US-WA,state,,225.0,187.0,187.0,3,America/Los_Angeles,False,1840021097
Riverpoint,Riverpoint,,47.4842,-121.715,United States,US,USA,Washington,Washington,US-WA,state,,141.8,,,3,America/Los_Angeles,False,1840148255
Entiat,Entiat,,47.678,-120.2176,United States,US,USA,Washington,Washington,US-WA,state,,226.0,1280.0,1280.0,3,America/Los_Angeles,False,1840019777
Five Corners,Five Corners,,45.6883,-122.5738,United States,US,USA,Washington,Washington,US-WA,state,,1254.0,18908.0,18908.0,3,America/Los_Angeles,False,1840037869
Alpha,Alpha,,46.6115,-122.6054,United States,US,USA,Washington,Washington,US-WA,state,,32.3,,,4,America/Los_Angeles,False,1840120415
Retsil,Retsil,,47.5459,-122.6112,United States,US,USA,Washington,Washington,US-WA,state,,1368.6,,,4,America/Los_Angeles,False,1840120737
Sunnydale,Sunnydale,,46.8337,-122.9329,United States,US,USA,Washington,Washington,US-WA,state,,159.9,,,4,America/Los_Angeles,False,1840119595
Onion Creek,Onion Creek,,48.7838,-117.8117,United States,US,USA,Washington,Washington,US-WA,state,,17.3,,,4,America/Los_Angeles,False,1840120753
Royal City,Royal City,,46.9019,-119.6208,United States,US,USA,Washington,Washington,US-WA,state,,742.0,2237.0,2237.0,3,America/Los_Angeles,False,1840019816
